dim1,dim2,dim3,TAT(ns),wait(ns),run(ns),switch_ovhd(ns),num_r_P1,num_r_P2,num_cs
10, 10, 10, 17208356, 12522599, 16890203, 324453, 4, 4, 8
60, 60, 60, 52005333, 48573162, 51931094, 398945, 13, 13, 26
110, 110, 110, 172442537, 163744273, 172310611, 743367, 41, 44, 85
160, 160, 160, 134337129, 126400664, 134014833, 367829, 32, 35, 67
210, 210, 210, 161156371, 150582414, 161854434, 447482, 36, 43, 79
260, 260, 260, 216208248, 181002889, 216015946, 623429, 46, 62, 108
310, 310, 310, 223284899, 220804077, 224193868, 528071, 43, 55, 98
360, 360, 360, 283657450, 298173763, 284952618, 679575, 51, 70, 121
410, 410, 410, 440739694, 411273027, 440349535, 1107591, 73, 113, 186
460, 460, 460, 674441002, 536497413, 673268737, 2506089, 93, 163, 256
510, 510, 510, 887848933, 1029990785, 886502086, 2357791, 128, 174, 302
560, 560, 560, 783200639, 809663988, 782220635, 1606842, 105, 175, 280
610, 610, 610, 951137299, 578149634, 951253353, 1803741, 118, 264, 382
660, 660, 660, 1318364818, 807777457, 1313120452, 5875452, 147, 374, 521
710, 710, 710, 1531508916, 732484693, 1528591909, 3356551, 132, 424, 556
760, 760, 760, 1883807370, 835702852, 1878441582, 6398866, 153, 535, 688
810, 810, 810, 2213137553, 1097205481, 2208171966, 5914412, 137, 689, 826
860, 860, 860, 2844389609, 1015246706, 2821819315, 22828859, 156, 774, 930
910, 910, 910, 4585586058, 1171743192, 4564244620, 21460699, 229, 1305, 1534
960, 960, 960, 3546674790, 1226472107, 3533095321, 14553352, 239, 986, 1225
1010, 1010, 1010, 5961119418, 1214156181, 5938060260, 23266845, 284, 2062, 2346
1060, 1060, 1060, 5024571608, 1178942983, 5006594496, 18464608, 235, 1444, 1679
1110, 1110, 1110, 6179439272, 1574094869, 6157209744, 23178195, 302, 1773, 2075
1160, 1160, 1160, 5519605948, 1343602312, 5504728424, 14985490, 276, 1886, 2162
1210, 1210, 1210, 8296103793, 1443909800, 8273685942, 23069015, 294, 2375, 2669
1260, 1260, 1260, 7436043761, 1898461491, 7413346197, 23876288, 322, 2241, 2563
1310, 1310, 1310, 9881305191, 2022510404, 9856563868, 25725264, 287, 3009, 3296
1360, 1360, 1360, 8435029897, 2660930454, 8409184083, 26134662, 350, 2742, 3092
1410, 1410, 1410, 12049644450, 2504740908, 12020189951, 30014828, 347, 3664, 4011
1460, 1460, 1460, 11688022125, 1852991745, 11654427004, 34314913, 396, 3875, 4271
1510, 1510, 1510, 16089190440, 2419058942, 16037659772, 52534043, 411, 4754, 5165
1560, 1560, 1560, 12971056840, 2610497668, 12944158009, 28300933, 423, 3333, 3756
1610, 1610, 1610, 18879916721, 3510993766, 18837023890, 44334663, 470, 5857, 6327
1660, 1660, 1660, 16085925009, 2753931321, 16026564294, 60563172, 486, 5827, 6313
1710, 1710, 1710, 23762005624, 4902267864, 23647315903, 116647997, 482, 6456, 6938
1760, 1760, 1760, 21275458766, 3572470881, 21200536541, 75348214, 619, 5934, 6553
1810, 1810, 1810, 29253277975, 5014036383, 29146959246, 107829498, 655, 8434, 9089
1860, 1860, 1860, 24511077901, 4072440785, 24387174004, 124611560, 559, 7502, 8061
1910, 1910, 1910, 30258653827, 4954374548, 30169492988, 89884815, 627, 9127, 9754
1960, 1960, 1960, 25682795995, 4788295861, 25599292969, 83804949, 697, 8093, 8790
